name,artist,genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Bestie (feat. Kodak Black),Bhad Bhabie,"trap queen, viral rap",0.908,0.625,1,-4.519,1,0.19,0.0741,0.0,0.182,0.613,101.993,140491,4
ROCKSTAR (feat. Roddy Ricch),DaBaby,"hip hop, north carolina hip hop, pop rap, rap, trap",0.746,0.69,11,-7.956,1,0.164,0.247,0.0,0.101,0.497,89.977,181733,4
Suicidal,YNW Melly,"melodic rap, rap",0.735,0.369,9,-9.682,0,0.0688,0.334,0.0,0.126,0.235,140.004,222997,4
Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,"dfw rap, melodic rap, pop, rap",0.755,0.522,2,-4.368,1,0.0575,0.533,0.0,0.0685,0.925,89.96,157560,4
OUT WEST (feat. Young Thug),JACKBOYS,pop rap,0.802,0.591,8,-4.895,1,0.225,0.0104,0.0,0.196,0.309,139.864,157712,4
Like That (feat. Gucci Mane),Doja Cat,"dance pop, pop",0.879,0.498,4,-6.027,0,0.18,0.239,0.0,0.0967,0.405,106.044,163173,4
Lucid Dreams,Juice WRLD,"chicago rap, melodic rap, rap",0.511,0.566,6,-7.23,0,0.2,0.349,0.0,0.34,0.218,83.903,239836,4
HIGHEST IN THE ROOM,Travis Scott,"rap, slap house",0.598,0.427,7,-8.764,0,0.0317,0.0546,5.83e-06,0.21,0.0605,76.469,175721,4
Old Town Road,Lil Nas X,lgbtq+ hip hop,0.907,0.53,1,-6.112,1,0.127,0.0578,2.23e-06,0.101,0.507,135.998,113000,4
Him & I,G-Eazy,"indie pop rap, oakland hip hop, pop rap, rap",0.589,0.731,2,-6.343,1,0.0868,0.0534,0.0,0.308,0.191,87.908,268867,4
Goosebumps - Remix,Travis Scott,"rap, slap house",0.841,0.593,1,-7.846,1,0.0379,0.418,0.0,0.124,0.808,124.917,162803,4
One Dance,Drake,"canadian hip hop, canadian pop, hip hop, pop rap, rap",0.792,0.625,1,-5.609,1,0.0536,0.00776,0.0018,0.329,0.37,103.967,173987,4
Darling,D-Block Europe,"melodic drill, uk hip hop",0.848,0.596,2,-8.043,0,0.235,0.5,0.0,0.0853,0.793,150.035,143200,4
Superman,Eminem,"detroit hip hop, hip hop, rap",0.802,0.755,4,-3.138,0,0.0564,0.0215,0.0,0.295,0.58,130.027,350320,4
bury a friend,Billie Eilish,"art pop, pop",0.905,0.389,8,-14.505,1,0.332,0.74,0.162,0.106,0.196,120.046,193143,4
CARNIVAL,Kanye West,"chicago rap, hip hop, rap",0.596,0.81,1,-5.745,1,0.152,0.192,0.0,0.338,0.29,148.241,264324,4
VULTURES,Kanye West,"chicago rap, hip hop, rap",0.703,0.683,1,-4.256,0,0.209,0.053,0.0,0.141,0.475,146.07,276987,4
Romantic Homicide,d4vd,"bedroom pop, bedroom r&b",0.571,0.544,6,-10.613,1,0.0299,0.453,0.00805,0.322,0.216,132.052,132631,4
Ultraviolence,Lana Del Rey,"art pop, pop",0.144,0.541,0,-7.076,1,0.038,0.278,1.01e-05,0.101,0.0899,79.262,251480,3
Sweater Weather - Young Saab Remix,The Neighbourhood,"modern alternative rock, modern rock, pop",0.583,0.954,7,-4.179,0,0.0788,0.000553,0.243,0.414,0.421,124.029,267270,4
Those Eyes,New West,toronto indie,0.597,0.351,4,-8.043,1,0.0281,0.727,3.86e-05,0.319,0.243,119.948,220750,3
The Night We Met,Lord Huron,"indie folk, stomp and holler",0.448,0.369,9,-9.514,1,0.0452,0.968,0.272,0.638,0.0998,174.097,208212,3
Watercolor Eyes - From “Euphoria” An HBO Original Series,Lana Del Rey,"art pop, pop",0.444,0.26,7,-10.045,1,0.0316,0.964,0.0815,0.125,0.121,120.443,211613,4
I Love You So,The Walters,"chicago indie, pov: indie",0.575,0.648,10,-4.891,1,0.0358,0.583,0.0,0.115,0.466,75.977,160240,4
Fall in Love with You.,Montell Fish,pittsburgh rap,0.538,0.0203,4,-23.163,1,0.0437,0.92,0.019,0.104,0.103,121.447,132000,3
Revenge,XXXTENTACION,"emo rap, miami hip hop, rap",0.746,0.251,11,-16.169,0,0.259,0.782,0.00203,0.106,0.18,139.999,120027,4
Brooklyn Baby,Lana Del Rey,"art pop, pop",0.404,0.664,1,-6.698,1,0.0407,0.542,0.00402,0.11,0.0949,107.747,351640,4
Apocalypse,Cigarettes After Sex,"ambient pop, dream pop, el paso indie, shoegaze",0.369,0.468,5,-9.013,1,0.0273,0.0205,0.566,0.109,0.18,94.434,290617,4
Young And Beautiful,Lana Del Rey,"art pop, pop",0.324,0.416,11,-8.92,0,0.0368,0.262,3.69e-05,0.11,0.151,113.986,236053,4
Cherry Wine - Live,Hozier,"irish singer-songwriter, modern rock, pop, pov: indie",0.475,0.111,1,-14.848,1,0.0366,0.952,0.00333,0.0982,0.233,101.487,240147,4
Sunsetz,Cigarettes After Sex,"ambient pop, dream pop, el paso indie, shoegaze",0.41,0.48,9,-9.417,0,0.0294,0.0561,0.814,0.0972,0.129,75.303,215150,4
Heavenly,Cigarettes After Sex,"ambient pop, dream pop, el paso indie, shoegaze",0.536,0.436,8,-9.187,1,0.0248,0.672,0.697,0.11,0.134,105.13,286773,4
Sad Girl,Lana Del Rey,"art pop, pop",0.345,0.587,5,-8.346,1,0.0364,0.539,0.0731,0.119,0.258,119.479,317760,4
The Other Woman,Lana Del Rey,"art pop, pop",0.255,0.468,7,-6.43,0,0.0317,0.822,0.248,0.339,0.175,111.67,181960,4
A&W,Lana Del Rey,"art pop, pop",0.429,0.239,10,-14.696,1,0.11,0.632,0.389,0.116,0.137,157.112,433916,4
Did you know that there's a tunnel under Ocean Blvd,Lana Del Rey,"art pop, pop",0.45,0.323,0,-9.376,1,0.0304,0.753,0.0182,0.12,0.0511,119.858,285051,4
Norman fucking Rockwell,Lana Del Rey,"art pop, pop",0.215,0.203,5,-12.65,1,0.0346,0.968,0.0585,0.0923,0.143,78.287,248934,1
Mariners Apartment Complex,Lana Del Rey,"art pop, pop",0.531,0.252,9,-12.765,1,0.028,0.763,0.000133,0.104,0.159,76.054,247150,4
Fuck it I love you,Lana Del Rey,"art pop, pop",0.534,0.452,9,-10.732,0,0.0359,0.895,0.00165,0.125,0.175,129.974,218288,4
Venice Bitch,Lana Del Rey,"art pop, pop",0.368,0.286,9,-13.031,0,0.0294,0.913,0.177,0.099,0.312,77.826,577199,4
John Wayne,Cigarettes After Sex,"ambient pop, dream pop, el paso indie, shoegaze",0.429,0.457,3,-8.375,1,0.0294,0.35,0.859,0.099,0.183,124.033,258013,4
Cinnamon Girl,Lana Del Rey,"art pop, pop",0.294,0.337,6,-10.614,0,0.036,0.814,0.414,0.14,0.135,91.781,300683,5
Happier Than Ever,Billie Eilish,"art pop, pop",0.332,0.225,0,-8.697,1,0.0348,0.767,0.00349,0.128,0.297,81.055,298899,3
The greatest,Lana Del Rey,"art pop, pop",0.443,0.226,2,-12.507,0,0.0359,0.939,0.0201,0.14,0.196,79.142,300361,3
Happiness is a butterfly,Lana Del Rey,"art pop, pop",0.467,0.119,2,-10.99,1,0.0401,0.969,1.4e-06,0.0973,0.156,70.499,272485,4
TV,Billie Eilish,"art pop, pop",0.412,0.236,4,-15.159,0,0.0379,0.83,0.00653,0.147,0.119,140.214,281381,4
hope is a dangerous thing for a woman like me to have - but I have it,Lana Del Rey,"art pop, pop",0.49,0.104,4,-13.208,0,0.0635,0.964,0.0,0.162,0.278,86.675,324499,4
How to disappear,Lana Del Rey,"art pop, pop",0.538,0.304,9,-11.79,1,0.0352,0.613,0.000631,0.164,0.065,78.997,228071,3
changes,XXXTENTACION,"emo rap, miami hip hop, rap",0.669,0.308,11,-10.068,1,0.029,0.883,0.0,0.0984,0.52,64.934,121887,4
Break My Heart Again,FINNEAS,"alt z, la indie, pop, pov: indie",0.402,0.151,4,-14.228,0,0.04,0.907,0.0,0.0941,0.489,144.069,238013,4
Formula,Labrinth,"indie poptimism, pop",0.574,0.664,11,-6.068,1,0.0409,0.0448,0.0553,0.146,0.226,144.654,91870,4
Losin Control,Russ,"hawaiian hip hop, pop rap",0.759,0.245,6,-6.545,1,0.138,0.515,0.000154,0.102,0.209,96.992,237507,4
